match_id,stage,start_time,team1,team2,match_format,game_id,game_number,map_name,score1,score2,roster1,roster2,full_roster1,full_roster2
10528,Preseason,2017-12-07 14:00:00,GLA,LDN,preseason,5588,2,horizon-lunar-colony,1,2,BigGoose|Bischu|Hydration|Shaz|Surefour|iRemiix,Fissure|Fury|HaGoPeun|NUS|Rascal|birdring,Asher|BigGoose|Bischu|Hydration|Shaz|Surefour|iRemiix,Bdosin|Closer|Fissure|Fury|Gesture|HaGoPeun|Hooreg|NUS|Profit|Rascal|WooHyaL|birdring
10528,Preseason,2017-12-07 14:00:00,GLA,LDN,preseason,5589,3,ilios,0,2,Asher|BigGoose|Bischu|Shaz|Surefour|iRemiix,Closer|Gesture|HaGoPeun|Hooreg|Profit|WooHyaL,Asher|BigGoose|Bischu|Hydration|Shaz|Surefour|iRemiix,Bdosin|Closer|Fissure|Fury|Gesture|HaGoPeun|Hooreg|NUS|Profit|Rascal|WooHyaL|birdring
10528,Preseason,2017-12-07 14:00:00,GLA,LDN,preseason,5590,4,numbani,5,4,Asher|BigGoose|Bischu|Shaz|Surefour|iRemiix,Closer|Gesture|HaGoPeun|Hooreg|Profit|WooHyaL,Asher|BigGoose|Bischu|Hydration|Shaz|Surefour|iRemiix,Bdosin|Closer|Fissure|Fury|Gesture|HaGoPeun|Hooreg|NUS|Profit|Rascal|WooHyaL|birdring
10528,Preseason,2017-12-07 14:00:00,GLA,LDN,preseason,5842,5,lijiang,2,0,Asher|BigGoose|Hydration|Shaz|Surefour|iRemiix,Closer|Gesture|HaGoPeun|Hooreg|Profit|WooHyaL,Asher|BigGoose|Bischu|Hydration|Shaz|Surefour|iRemiix,Bdosin|Closer|Fissure|Fury|Gesture|HaGoPeun|Hooreg|NUS|Profit|Rascal|WooHyaL|birdring
10529,Preseason,2017-12-07 16:00:00,DAL,HOU,preseason,5591,1,dorado,1,2,Chipshajen|Custa|EFFECT|Mickie|Taimou|cocco,Boink|Coolmatt|Jake|LiNkzr|Muma|Rawkus,Chipshajen|Custa|EFFECT|HarryHook|Mickie|Seagull|Taimou|cocco|xQc,Bani|Boink|Clockwork|Coolmatt|Jake|LiNkzr|Mendokusaii|Muma|Rawkus|SPREE
10529,Preseason,2017-12-07 16:00:00,DAL,HOU,preseason,5592,2,temple-of-anubis,4,3,Chipshajen|EFFECT|HarryHook|Mickie|Taimou|xQc,Bani|Boink|Coolmatt|Jake|LiNkzr|Muma,Chipshajen|Custa|EFFECT|HarryHook|Mickie|Seagull|Taimou|cocco|xQc,Bani|Boink|Clockwork|Coolmatt|Jake|LiNkzr|Mendokusaii|Muma|Rawkus|SPREE
10529,Preseason,2017-12-07 16:00:00,DAL,HOU,preseason,5593,3,oasis,2,1,Chipshajen|Custa|EFFECT|Mickie|Seagull|Taimou,Boink|Clockwork|Coolmatt|LiNkzr|Muma|Rawkus,Chipshajen|Custa|EFFECT|HarryHook|Mickie|Seagull|Taimou|cocco|xQc,Bani|Boink|Clockwork|Coolmatt|Jake|LiNkzr|Mendokusaii|Muma|Rawkus|SPREE
10529,Preseason,2017-12-07 16:00:00,DAL,HOU,preseason,5594,4,eichenwalde,2,3,Chipshajen|EFFECT|HarryHook|Mickie|Taimou|cocco,Bani|Clockwork|Jake|Muma|Rawkus|SPREE,Chipshajen|Custa|EFFECT|HarryHook|Mickie|Seagull|Taimou|cocco|xQc,Bani|Boink|Clockwork|Coolmatt|Jake|LiNkzr|Mendokusaii|Muma|Rawkus|SPREE
10529,Preseason,2017-12-07 16:00:00,DAL,HOU,preseason,5843,5,lijiang,2,1,Chipshajen|Custa|EFFECT|Mickie|Seagull|Taimou,Boink|Coolmatt|Jake|LiNkzr|Muma|Rawkus,Chipshajen|Custa|EFFECT|HarryHook|Mickie|Seagull|Taimou|cocco|xQc,Bani|Boink|Clockwork|Coolmatt|Jake|LiNkzr|Mendokusaii|Muma|Rawkus|SPREE
10530,Preseason,2017-12-07 18:20:00,NYE,BOS,preseason,5595,1,dorado,3,0,Ark|Janus|Libero|Meko|Pine|Saebyeolbe,DreamKazper|Gamsu|Kellex|Neko|NotE|STRIKER,Ark|Janus|Libero|Mano|Meko|Pine|Saebyeolbe,Avast|DreamKazper|Gamsu|Kalios|Kellex|Mistakes|Neko|NotE|STRIKER|Snow
10530,Preseason,2017-12-07 18:20:00,NYE,BOS,preseason,5596,2,temple-of-anubis,4,3,Ark|Janus|Libero|Meko|Pine|Saebyeolbe,DreamKazper|Gamsu|Kellex|Neko|NotE|STRIKER,Ark|Janus|Libero|Mano|Meko|Pine|Saebyeolbe,Avast|DreamKazper|Gamsu|Kalios|Kellex|Mistakes|Neko|NotE|STRIKER|Snow
10530,Preseason,2017-12-07 18:20:00,NYE,BOS,preseason,5597,3,oasis,0,2,Ark|Janus|Libero|Meko|Pine|Saebyeolbe,DreamKazper|Gamsu|Kellex|Neko|NotE|STRIKER,Ark|Janus|Libero|Mano|Meko|Pine|Saebyeolbe,Avast|DreamKazper|Gamsu|Kalios|Kellex|Mistakes|Neko|NotE|STRIKER|Snow
10530,Preseason,2017-12-07 18:20:00,NYE,BOS,preseason,5598,4,eichenwalde,3,1,Ark|Libero|Mano|Meko|Pine|Saebyeolbe,DreamKazper|Gamsu|Kellex|Neko|NotE|STRIKER,Ark|Janus|Libero|Mano|Meko|Pine|Saebyeolbe,Avast|DreamKazper|Gamsu|Kalios|Kellex|Mistakes|Neko|NotE|STRIKER|Snow
10531,Preseason,2017-12-08 16:00:00,SFS,LDN,preseason,5844,1,dorado,2,3,BABYBAY|Danteh|Nevix|Nomy|dhaK|sleepy,Fissure|Fury|HaGoPeun|NUS|Rascal|birdring,BABYBAY|Danteh|Nevix|Nomy|dhaK|iddqd|sleepy,Bdosin|Closer|Fissure|Fury|Gesture|HaGoPeun|Hooreg|NUS|Profit|Rascal|WooHyaL|birdring
10531,Preseason,2017-12-08 16:00:00,SFS,LDN,preseason,5847,2,temple-of-anubis,2,3,BABYBAY|Danteh|Nevix|Nomy|dhaK|sleepy,Fissure|Fury|HaGoPeun|NUS|Rascal|birdring,BABYBAY|Danteh|Nevix|Nomy|dhaK|iddqd|sleepy,Bdosin|Closer|Fissure|Fury|Gesture|HaGoPeun|Hooreg|NUS|Profit|Rascal|WooHyaL|birdring
10531,Preseason,2017-12-08 16:00:00,SFS,LDN,preseason,5848,3,oasis,0,2,BABYBAY|Danteh|Nevix|Nomy|dhaK|sleepy,Fissure|Fury|HaGoPeun|NUS|Rascal|birdring,BABYBAY|Danteh|Nevix|Nomy|dhaK|iddqd|sleepy,Bdosin|Closer|Fissure|Fury|Gesture|HaGoPeun|Hooreg|NUS|Profit|Rascal|WooHyaL|birdring
10531,Preseason,2017-12-08 16:00:00,SFS,LDN,preseason,5849,4,eichenwalde,2,3,BABYBAY|Danteh|Nevix|Nomy|dhaK|sleepy,Fissure|Fury|HaGoPeun|NUS|Rascal|birdring,BABYBAY|Danteh|Nevix|Nomy|dhaK|iddqd|sleepy,Bdosin|Closer|Fissure|Fury|Gesture|HaGoPeun|Hooreg|NUS|Profit|Rascal|WooHyaL|birdring
